;name;company;link;city;currency;min_value;max_value;place
0;Python-разработчик;Сбер. IT;https://hh.ru/vacancy/47967656?from=vacancy_search_list&query=python;Москва;;;;
1;Middle/Senior Python developer;Unikoom;https://hh.ru/vacancy/48419670?from=vacancy_search_list&query=python;Москва;USD;3500.0;;
2;Senior Python developer;TeamDirector;https://hh.ru/vacancy/48297901?from=vacancy_search_list&query=python;Москва;USD;4000.0;6000.0;
3;Team Lead Python Engineer;КА Натальи Зотовой;https://hh.ru/vacancy/48251626?from=vacancy_search_list&query=python;Москва;USD;;8000.0;
4;Python разработчик;Точка;https://hh.ru/vacancy/47682360?from=vacancy_search_list&query=python;Москва;руб.;;380000.0;
5;Стажер разработчик Python;ООО Аналитические программные решения;https://hh.ru/vacancy/47861001?from=vacancy_search_list&query=python;Москва;руб.;20000.0;50000.0;Марьина Роща
6;Junior Data Engineer (Python);DataFork;https://hh.ru/vacancy/47914759?from=vacancy_search_list&query=python;Москва;руб.;120000.0;120000.0;Выставочная и еще 2 
7;Программист Python;WOLBE;https://hh.ru/vacancy/48347828?from=vacancy_search_list&query=python;Москва;руб.;80000.0;170000.0;
8;Python-разработчик;Сбер. IT;https://hh.ru/vacancy/46558794?from=vacancy_search_list&query=python;Москва;;;;
9;Python-разработчик (Django, DRF);ООО Фабрика Решений;https://hh.ru/vacancy/39736489?from=vacancy_search_list&query=python;Москва;руб.;60000.0;150000.0;Сухаревская
10;Python Developer (стажер);Blockchain Solutions;https://hh.ru/vacancy/48302705?from=vacancy_search_list&query=python;Москва;;;;Динамо и еще 1 
11;Разработчик Python;ИП Брусова Татьяна Анатольевна;https://hh.ru/vacancy/47947303?from=vacancy_search_list&query=python;Москва;руб.;187000.0;338000.0;
12;Python Data Engineer;ООО ФармХаб;https://hh.ru/vacancy/48281261?from=vacancy_search_list&query=python;Москва;руб.;150000.0;180000.0;
13;Разработчик Python;ООО Инспектор Клауд;https://hh.ru/vacancy/48140661?from=vacancy_search_list&query=python;Москва;руб.;120000.0;180000.0;
14;Junior разработчик Python (Django);ООО Максконсалт;https://hh.ru/vacancy/47856983?from=vacancy_search_list&query=python;Москва;;;;
15;Python developer;Spice Agency;https://hh.ru/vacancy/47322083?from=vacancy_search_list&query=python;Москва;руб.;;400000.0;
16;Senior Python developer;Fitingo;https://hh.ru/vacancy/47554572?from=vacancy_search_list&query=python;Москва;руб.;230000.0;;
17;Программист Python/Java;ООО ИнфоТех;https://hh.ru/vacancy/43244378?from=vacancy_search_list&query=python;Москва;руб.;60000.0;;Белорусская
18;Разработчик Python / Django;IT Gene;https://hh.ru/vacancy/48303235?from=vacancy_search_list&query=python;Москва;руб.;70000.0;80000.0;Свиблово
19;Python developer / Data engineer (Middle);Wunder Fund;https://hh.ru/vacancy/48185408?from=vacancy_search_list&query=python;Москва;руб.;150000.0;300000.0;
20;Python Developer (Django);DAILO;https://hh.ru/vacancy/47611147?from=vacancy_search_list&query=python;Москва;руб.;130000.0;160000.0;
21;Junior Backend Developer (Python);Postuf;https://hh.ru/vacancy/47348712?from=vacancy_search_list&query=python;Москва;;;;
22;Python разработчик (senior) (backend);ООО Лендсбэй;https://hh.ru/vacancy/43941903?from=vacancy_search_list&query=python;Москва;руб.;;500000.0;Площадь Гагарина
23;Программист Python Backend;ИП Галлямов Раиль Нафисович;https://hh.ru/vacancy/48259518?from=vacancy_search_list&query=python;Москва;руб.;;300000.0;
24;Backend Developer (Python);РОССТ, РА;https://hh.ru/vacancy/48291321?from=vacancy_search_list&query=python;Москва;руб.;150000.0;300000.0;Бауманская
25;Python developer (middle);Fitingo;https://hh.ru/vacancy/47570441?from=vacancy_search_list&query=python;Москва;руб.;150000.0;;
26;Backend-разработчик / Python developer (умные дома);ООО Эктострой;https://hh.ru/vacancy/48381016?from=vacancy_search_list&query=python;Москва;руб.;100000.0;200000.0;
27;Разработчик Python;Иннотех, Группа компаний;https://hh.ru/vacancy/47062714?from=vacancy_search_list&query=python;Москва;;;;
28;Python backend-разработчик;Carely;https://hh.ru/vacancy/48251191?from=vacancy_search_list&query=python;Москва;руб.;;220000.0;Тульская
29;Программист Python;Метр Квадратный;https://hh.ru/vacancy/47899400?from=vacancy_search_list&query=python;Москва;руб.;210000.0;;
30;Python Developer;Тинькофф;https://hh.ru/vacancy/40612238?from=vacancy_search_list&query=python;Москва;;;;Водный стадион
31;Python developer;ЗАО Группа компаний С7;https://hh.ru/vacancy/48291787?from=vacancy_search_list&query=python;Москва;руб.;100000.0;200000.0;
32;Python Middle Developer;ООО МКК Папазайм;https://hh.ru/vacancy/48218528?from=vacancy_search_list&query=python;Москва;руб.;120000.0;180000.0;
33;Middle Python-developer (aiohttp, asyncio);KTS;https://hh.ru/vacancy/48393786?from=vacancy_search_list&query=python;Москва;руб.;;200000.0;Бауманская
34;Senior Python Engineer (Remote);Spark Equation;https://hh.ru/vacancy/47213315?from=vacancy_search_list&query=python;Москва;руб.;230000.0;320000.0;
35;Backend (Python) developer;ИП Аткнин Иван Иванович;https://hh.ru/vacancy/47757380?from=vacancy_search_list&query=python;Москва;руб.;150000.0;350000.0;
36;Разработчик Python / Django;ФКУ Спеццентр МЧС России;https://hh.ru/vacancy/48220676?from=vacancy_search_list&query=python;Москва;руб.;60000.0;;Славянский бульвар
37;Разработчик Python, VBA, Google Apps;АО Engineering Center Airbus Russia (ECAR);https://hh.ru/vacancy/48326337?from=vacancy_search_list&query=python;Москва;;;;
38;Data Scientist;COMTEK Inc.;https://hh.ru/vacancy/47888798?from=vacancy_search_list&query=python;Москва;USD;3000.0;5000.0;
39;Python разработчик;Сбер. IT;https://hh.ru/vacancy/48363469?from=vacancy_search_list&query=python;Москва;;;;
40;Python Developer;ООО Телеформ ИС;https://hh.ru/vacancy/47698410?from=vacancy_search_list&query=python;Москва;руб.;100000.0;;
41;Python / Django developer;UAB Loberta;https://hh.ru/vacancy/47731874?from=vacancy_search_list&query=python;Москва;USD;1000.0;2500.0;
42;Senior Python Django developer;ООО БОЛЬШАЯ ТРОЙКА;https://hh.ru/vacancy/47865336?from=vacancy_search_list&query=python;Москва;руб.;180000.0;350000.0;Маяковская и еще 1 
43;Python Developer (remote);Brandquad;https://hh.ru/vacancy/48086950?from=vacancy_search_list&query=python;Москва;руб.;150000.0;220000.0;
44;Программист Python (Webscanner);Positive Technologies;https://hh.ru/vacancy/48310679?from=vacancy_search_list&query=python;Москва;;;;
45;Python (Django) Backend developer;evrone.ru;https://hh.ru/vacancy/48120144?from=vacancy_search_list&query=python;Москва;руб.;;270000.0;
46;Python Developer;SberAutoTech;https://hh.ru/vacancy/48089560?from=vacancy_search_list&query=python;Москва;;;;
47;Программист Python;ООО Верме;https://hh.ru/vacancy/47735326?from=vacancy_search_list&query=python;Москва;;;;
48;Python Backend Developer (Middle);Business Craft Consult;https://hh.ru/vacancy/47814760?from=vacancy_search_list&query=python;Москва;руб.;;300000.0;Киевская
49;Разработчик (Python);ГДЕЭТОТДОМ.РУ,ООО;https://hh.ru/vacancy/48343655?from=vacancy_search_list&query=python;Москва;руб.;150000.0;;
50;Python разработчик (FastAPI / aiohttp / sanic);HuskyJam;https://hh.ru/vacancy/48176688?from=vacancy_search_list&query=python;Москва;;;;
51;Разработчик Python (backend);АО Точных Приборов, НИИ;https://hh.ru/vacancy/45157245?from=vacancy_search_list&query=python;Москва;руб.;80000.0;150000.0;Ботанический сад и еще 1 
52;Python Django разработчик, удаленно;эдмин;https://hh.ru/vacancy/47600594?from=vacancy_search_list&query=python;Москва;руб.;150000.0;200000.0;
53;Python разработчик (Middle+/Senior);ООО Строительный Двор;https://hh.ru/vacancy/45806688?from=vacancy_search_list&query=python;Москва;руб.;200000.0;250000.0;
54;Python Developer;ООО Айсиэм;https://hh.ru/vacancy/47519752?from=vacancy_search_list&query=python;Москва;;;;Аэропорт
55;Разработчик Python (backend);Ренессанс Кредит, Москва;https://hh.ru/vacancy/48417499?from=vacancy_search_list&query=python;Москва;;;;
56;Backend developer (Python);The Head;https://hh.ru/vacancy/48325398?from=vacancy_search_list&query=python;Москва;руб.;150000.0;300000.0;
57;Middle Data Engineer / Python разработчик;ООО Автоматизация и Консалтинг;https://hh.ru/vacancy/48091756?from=vacancy_search_list&query=python;Москва;руб.;90000.0;160000.0;
58;Python-разработчик;Novakid Inc;https://hh.ru/vacancy/47499212?from=vacancy_search_list&query=python;Москва;руб.;200000.0;300000.0;
59;Senior Python developer;ООО Умный Склад;https://hh.ru/vacancy/48301975?from=vacancy_search_list&query=python;Москва;руб.;180000.0;200000.0;Румянцево
60;Python разработчик;ПАО «МТС», IT;https://hh.ru/vacancy/45537379?from=vacancy_search_list&query=python;Москва;;;;Технопарк
61;Python разработчик (Django);HuskyJam;https://hh.ru/vacancy/47562337?from=vacancy_search_list&query=python;Москва;;;;
62;Middle Python Developer (DevOps team);Валарм;https://hh.ru/vacancy/47459091?from=vacancy_search_list&query=python;Москва;руб.;150000.0;220000.0;
63;Программист-разработчик (Python);ГРЧЦ, ФГУП;https://hh.ru/vacancy/48391609?from=vacancy_search_list&query=python;Москва;;;;Марьина Роща
64;Python разработчик;ПИК-БРОКЕР;https://hh.ru/vacancy/45471612?from=vacancy_search_list&query=python;Москва;;;;Деловой центр
65;Python-разработчик;ivi;https://hh.ru/vacancy/47532850?from=vacancy_search_list&query=python;Москва;;;;Дмитровская
66;Python-разработчик (Middle) удаленно;Латера;https://hh.ru/vacancy/47449635?from=vacancy_search_list&query=python;Москва;руб.;;220000.0;
67;Программист Python;АО РТИ;https://hh.ru/vacancy/43156201?from=vacancy_search_list&query=python;Москва;;;;
68;Teamlead Backend (Python);ООО Фабрика Решений;https://hh.ru/vacancy/46682089?from=vacancy_search_list&query=python;Москва;руб.;;300000.0;
69;Backend разработчик (Python);Tevian (ООО Технологии видеоанализа);https://hh.ru/vacancy/47176790?from=vacancy_search_list&query=python;Москва;руб.;170000.0;250000.0;
70;Разработчик Python;АО ИнфоТеКС;https://hh.ru/vacancy/47381562?from=vacancy_search_list&query=python;Москва;;;;Отрадное
71;Python-разработчик (BI);Mail.ru Group, Delivery Club;https://hh.ru/vacancy/48274018?from=vacancy_search_list&query=python;Москва;;;;Аэропорт
72;Python разработчик (Senior);USETECH;https://hh.ru/vacancy/47474397?from=vacancy_search_list&query=python;Москва;;;;Павелецкая и еще 1 
73;Программист Python;Softline development;https://hh.ru/vacancy/48322348?from=vacancy_search_list&query=python;Москва;;;;
74;Middle/Senior Python Backend developer;Software Consulting Solutions;https://hh.ru/vacancy/48254916?from=vacancy_search_list&query=python;Москва;USD;2000.0;3500.0;
75;Middle+/Senior Python Developer;Betterstore;https://hh.ru/vacancy/47888294?from=vacancy_search_list&query=python;Москва;руб.;;200000.0;Шаболовская
76;Python программист;Group-IB;https://hh.ru/vacancy/47477660?from=vacancy_search_list&query=python;Москва;;;;
77;Разработчик Python;Домклик;https://hh.ru/vacancy/43068966?from=vacancy_search_list&query=python;Москва;;;;Кутузовская
78;Senior Python разработчик (Наставник);Сбер для экспертов;https://hh.ru/vacancy/47536823?from=vacancy_search_list&query=python;Москва;;;;Кутузовская и еще 1 
79;Senior Python Programmer;Ergeon;https://hh.ru/vacancy/47965482?from=vacancy_search_list&query=python;Москва;USD;4000.0;5000.0;
80;Программист разработчик (Python middle);Pro-подбор;https://hh.ru/vacancy/47718941?from=vacancy_search_list&query=python;Москва;руб.;120000.0;;
81;Python Developer;Hunt For You;https://hh.ru/vacancy/48265277?from=vacancy_search_list&query=python;Москва;;;;
82;Разработчик Python (Senior);ООО Страховая компания «Сбербанк страхование»;https://hh.ru/vacancy/44811190?from=vacancy_search_list&query=python;Москва;;;;
83;Python Lead;SUNLIGHT/САНЛАЙТ;https://hh.ru/vacancy/48216332?from=vacancy_search_list&query=python;Москва;руб.;350000.0;;Мякинино и еще 3 
84;Python Backend разработчик;ИП Рождественская Анна Юльевна;https://hh.ru/vacancy/48253906?from=vacancy_search_list&query=python;Москва;руб.;160000.0;;
85;Python-Разработчик (удаленно);BestDoctor;https://hh.ru/vacancy/47484756?from=vacancy_search_list&query=python;Москва;руб.;180000.0;;
86;Python разработчик в SberDevices (b2e);Сбер. IT;https://hh.ru/vacancy/44536394?from=vacancy_search_list&query=python;Москва;;;;Кутузовская и еще 1 
87;Python senior developer / Старший Python-Разработчик;BestDoctor;https://hh.ru/vacancy/47484744?from=vacancy_search_list&query=python;Москва;руб.;250000.0;;
88;Разработчик Python (Big Data);ADV/web-engineering;https://hh.ru/vacancy/48234111?from=vacancy_search_list&query=python;Москва;;;;Дмитровская
89;Senior Python Developer;ООО Интеллектуальные Продукты;https://hh.ru/vacancy/47642650?from=vacancy_search_list&query=python;Москва;руб.;150000.0;250000.0;
90;Senior Python developer - Kannon;Deutsche Bank Technology Center;https://hh.ru/vacancy/47563798?from=vacancy_search_list&query=python;Москва;;;;Новокузнецкая и еще 2 
91;Python-разработчик в Лавку;Яндекс;https://hh.ru/vacancy/48206113?from=vacancy_search_list&query=python;Москва;;;;
92;Разработчик Python (backend);Whalemap;https://hh.ru/vacancy/48213042?from=vacancy_search_list&query=python;Москва;руб.;150000.0;300000.0;
93;Python/Go backend developer (middle);ООО Соушиал Линкс;https://hh.ru/vacancy/47731920?from=vacancy_search_list&query=python;Москва;;;;Калужская
94;Data Engineer (Python);Detego;https://hh.ru/vacancy/48219778?from=vacancy_search_list&query=python;Москва;;;;Новокузнецкая
95;Senior Python Developer (Remote);SUNLIGHT/САНЛАЙТ;https://hh.ru/vacancy/42615019?from=vacancy_search_list&query=python;Москва;руб.;250000.0;350000.0;Строгино
96;Python разработчик;МойСклад;https://hh.ru/vacancy/47757295?from=vacancy_search_list&query=python;Москва;;;;Автозаводская
97;Python developer;Кадровое агентство Smart Business;https://hh.ru/vacancy/48195683?from=vacancy_search_list&query=python;Москва;руб.;120000.0;280000.0;
98;Junior Python Developer;ООО ЭНКОСТ;https://hh.ru/vacancy/48130982?from=vacancy_search_list&query=python;Москва;руб.;60000.0;;
99;Python Backend Engineer;Novapulsar;https://hh.ru/vacancy/48205590?from=vacancy_search_list&query=python;Москва;USD;2400.0;4000.0;
100;Python разработчик (ДомКлик);Сбер. IT;https://hh.ru/vacancy/47331011?from=vacancy_search_list&query=python;Москва;;;;Кутузовская и еще 1 
101;ML Engineer / Python Developer;ООО РАБЛЗ;https://hh.ru/vacancy/47418089?from=vacancy_search_list&query=python;Москва;руб.;200000.0;350000.0;
102;Python разработчик (back-end);ООО Национальный Цифровой Агрегатор;https://hh.ru/vacancy/48122869?from=vacancy_search_list&query=python;Москва;руб.;180000.0;200000.0;Технопарк
103;Преподаватель курса  “Python” (Python developer);GeekBrains;https://hh.ru/vacancy/48214691?from=vacancy_search_list&query=python;Москва;;;;
104;Python Developer / Программист Python;Printum;https://hh.ru/vacancy/48121542?from=vacancy_search_list&query=python;Москва;;;;
105;Python Engineer;Parimatch Tech;https://hh.ru/vacancy/47736797?from=vacancy_search_list&query=python;Москва;;;;
106;Python разработчик;Сбер. IT;https://hh.ru/vacancy/46557882?from=vacancy_search_list&query=python;Москва;;;;
107;Разработчик Python;ВСК, САО;https://hh.ru/vacancy/47301256?from=vacancy_search_list&query=python;Москва;;;;
108;Python разработчик;IPONWEB Ltd (UK);https://hh.ru/vacancy/47377341?from=vacancy_search_list&query=python;Москва;;;;Шаболовская
109;Python разработчик;Лига Цифровой Экономики;https://hh.ru/vacancy/48133957?from=vacancy_search_list&query=python;Москва;;;;
110;Python developer (Kaspersky Anti Targeted Attack);Лаборатория Касперского;https://hh.ru/vacancy/42522896?from=vacancy_search_list&query=python;Москва;;;;Водный стадион
111;Python-разработчик;IVIDEON;https://hh.ru/vacancy/48098080?from=vacancy_search_list&query=python;Москва;;;;Менделеевская
112;Python Automation Engineer;Starnavi;https://hh.ru/vacancy/47889918?from=vacancy_search_list&query=python;Москва;;;;
113;Python-разработчик (Data Engineer);Mail.ru Group, Другое;https://hh.ru/vacancy/46633466?from=vacancy_search_list&query=python;Москва;;;;Аэропорт
114;Python Developer;Онлайн-школа Тетрика;https://hh.ru/vacancy/42358806?from=vacancy_search_list&query=python;Москва;;;;Курская
115;Python-разработчик;Сбер. IT;https://hh.ru/vacancy/46510732?from=vacancy_search_list&query=python;Москва;;;;Кутузовская
116;Программист Python;ООО Артистраж;https://hh.ru/vacancy/47450602?from=vacancy_search_list&query=python;Москва;руб.;60000.0;200000.0;Выставочная и еще 2 
117;Python разработчик в SberDevices (направление B2B2C);Сбер. IT;https://hh.ru/vacancy/41032029?from=vacancy_search_list&query=python;Москва;;;;Кутузовская и еще 1 
118;Python developer;Rutube;https://hh.ru/vacancy/37583293?from=vacancy_search_list&query=python;Москва;;;;Проспект Мира и еще 1 
119;Разработчик Python;Т1 Интеграция;https://hh.ru/vacancy/46027206?from=vacancy_search_list&query=python;Москва;;;;
